id,party_id,ideology,news-freq,dis-freq,polarization,party
890,ind,4,3.044444444,2.555555556,1.5,3
234,ind,2,2.4,1.148222222,3,3
374,rep,4,4.777777778,5,10,4
338,dem,1,2.427777778,3.925777778,8.5,1
1321,dem,2,1.594444444,2,8.5,2
1109,rep,2,3.216666667,2.296222222,1.5,4
808,ind,4,2.538888889,2.370444444,5,3
62,rep,4,2.094444444,2.962888889,8,4
826,ind,3,2.694444444,2.481555556,7.5,3
607,dem,2,2.666666667,1.740888889,7,1
565,dem,2,1.305555556,1.518444444,7,2
528,ind,4,1.505555556,1.962888889,10,3
36,dem,2,2.605555556,2.592666667,2,2
955,ind,4,4.022222222,4.296222222,2,3
971,dem,1,2.138888889,2.851777778,7.5,1
600,dem,3,3.222222222,1.962888889,8.5,2
114,ind,4,2.611111111,1.074222222,6,3
823,rep,5,3.305555556,3.148,2,5
768,ind,3,1.861111111,1.629777778,1,3
1179,rep,4,3.822222222,2.222222222,1.5,4
1232,rep,4,3.777777778,3.852,0,4
353,ind,2,1.055555556,1,3.5,3
1329,rep,4,2.605555556,1.629777778,2,4
554,rep,4,1.644444444,1.814888889,4.5,4
553,ind,4,1.416666667,1.296222222,8,3
177,rep,5,1.494444444,2.407333333,5,5
378,rep,3,2.722222222,1.481555556,7,4
1099,dem,1,3,3.370444444,3.5,2
449,dem,3,1.5,1.333333333,8,2
489,ind,4,2.394444444,2.703777778,1,3
975,dem,2,2.444444444,2.259333333,8.5,1
509,dem,2,2.111111111,1.111111111,2,2
506,dem,3,2.011111111,1.666666667,5,2
451,rep,4,1.844444444,1.926,8,4
326,rep,4,2.2,1.222222222,6,4
371,dem,3,2.505555556,1.481555556,5,2
483,ind,2,1.838888889,1.666666667,4.5,3
1111,rep,2,3.061111111,2.926,4,4
1263,rep,3,1.361111111,1.703777778,0,4
1087,rep,4,3.244444444,2.185111111,6.5,4
111,ind,3,1.477777778,1.185111111,1,3
1188,ind,1,2.316666667,1.518444444,3.5,3
715,ind,2,2.238888889,1.592666667,10,3
1024,rep,4,2.811111111,4.629777778,2,4
656,dem,3,1.705555556,1.814888889,3,2
215,rep,4,1.377777778,1.111111111,3.5,4
82,ind,1,1.966666667,1.407333333,1,3
440,rep,5,3.216666667,1.592666667,2.5,4
530,rep,5,1.977777778,1.703777778,0,5
1132,rep,5,1.666666667,2.074222222,10,5
302,rep,2,2.905555556,3.074,6.5,4
231,rep,4,1.6,1.481555556,5,5
861,ind,3,1.738888889,2.333333333,5,3
285,dem,1,2.016666667,1.111111111,10,1
1283,rep,5,1.75,1.481555556,5,5
670,ind,3,1.222222222,1.888888889,0.5,3
1198,dem,2,3.5,2.666666667,6.5,2
544,dem,2,1.694444444,1.518444444,10,2
527,dem,3,2.511111111,1.777777778,9,2
1041,dem,2,2.794444444,2.074,2.5,2
519,ind,2,2.477777778,1.259333333,10,3
29,ind,2,1.777777778,2.333333333,4,3
1317,rep,5,3.75,1,0,5
78,rep,2,1.805555556,1.407555556,0.5,5
221,rep,4,2.161111111,1.259333333,8.5,4
817,dem,3,2.022222222,1.629555556,10,1
762,rep,4,1.261111111,1.407333333,1.5,4
1285,ind,3,2.183333333,1,4,3
1078,dem,2,1.987333333,3.629555556,10,1
462,dem,2,1.3,1.185111111,6,2
633,dem,2,2.827777778,2.703777778,10,2
65,rep,5,1.305555556,1.222222222,8.5,5
876,rep,3,1.916666667,2.259333333,6,4
1209,rep,4,4.616666667,4.111111111,0,5
547,dem,1,2.172222222,1.148222222,8,1
1294,rep,5,2.327777778,1.333333333,7.5,5
1148,ind,4,2.340666667,2.444444444,3.5,3
640,dem,2,2.388888889,1.629777778,7.5,2
1193,rep,2,2.734666667,2.666666667,2,4
282,ind,3,1.888888889,1,0,3
1020,ind,4,4.305555556,3.481555556,0.5,3
1192,ind,4,1.944444444,1.518444444,10,3
834,dem,2,2.311111111,2.740888889,5.5,2
1210,rep,4,2.5,1.762888889,10,4
239,rep,5,1.733333333,1.629555556,10,5
459,rep,3,2.072222222,1.407555556,9.5,4
723,ind,3,1.183333333,1.259333333,0,3
863,rep,5,4.527777778,3.740666667,8,5
989,dem,1,2,3.703777778,3.5,2
195,rep,5,3.4,1.963111111,10,5
1037,ind,2,3.1,2.044444444,0.5,3
414,dem,4,2.1,1.185333333,1,2
1246,dem,1,2.005555556,1.148222222,5,1
681,dem,2,1.888888889,1.777777778,7.5,2
1069,dem,2,1.744444444,2.037111111,8.5,2
190,rep,3,2.133333333,1.148222222,4,4
578,rep,4,1.755555556,1.296444444,3.5,4
895,rep,2,1.733333333,3.8,5,4
228,rep,4,3.6,3.955555556,5,4
147,dem,1,1.994444444,1,0,1
759,dem,1,1.938888889,1.592666667,9,1
248,ind,3,2.622222222,1.814888889,0,3
1021,dem,4,3.288888889,2.518444444,9,2
425,ind,3,2.316666667,1,0.5,3
1168,dem,1,1.638888889,2.740888889,9,1
278,ind,3,1.844444444,1.518666667,6.5,3
974,dem,1,2.916666667,3.148222222,6.5,2
937,dem,5,3.95,2.629555556,10,1
1225,rep,5,2.472222222,1.518444444,10,4
405,ind,3,1.305555556,1.444444444,4.5,3
182,ind,3,1.683333333,1.259333333,2.5,3
1154,ind,4,2.872222222,2.814888889,5.5,3
493,rep,5,1.688888889,1.888888889,8.5,5
740,ind,3,1.75,1.962888889,3,3
913,dem,3,2.433333333,2.074,2.5,1
467,rep,4,1.516666667,1.333333333,7.5,4
159,rep,3,2.444444444,1.444444444,0.5,4
1320,dem,5,4.522222222,4.148222222,0.5,1
1176,ind,3,2.355555556,1.407333333,3.5,3
485,dem,1,2.383333333,1.851777778,7.5,1
541,ind,2,3.122222222,1.370444444,5.5,3
427,rep,5,1.438888889,1.111111111,10,4
905,dem,2,1.75,2.148222222,10,1
384,ind,3,2.783333333,2.733333333,5,3
25,rep,4,3.361111111,4.881555556,0.5,4
897,rep,3,2.638888889,2,5.5,4
1152,dem,1,3.288888889,2.888888889,6,1
791,rep,4,3.572222222,3.444444444,0,4
685,rep,5,1.694444444,2,6,4
965,ind,4,3.083333333,3.444444444,10,3
389,rep,4,2.666666667,1.333333333,10,4
275,rep,4,2.622222222,1.037111111,8.5,4
229,dem,4,3.066666667,3.466666667,6.5,2
439,rep,5,2.922222222,1.259333333,9.5,5
896,ind,4,2.6,2.296444444,10,3
1042,dem,5,4.627777778,4.370444444,2.5,1
355,dem,3,1.777777778,1.074,2,2
154,rep,3,1.616666667,1,5,4
709,ind,4,2.238888889,1.703777778,3.5,3
376,rep,4,1.672222222,1.111111111,10,4
55,dem,2,4.25,3.296222222,1,2
899,rep,4,3.338888889,1.407555556,2.5,4
220,dem,3,1.727777778,1,5.5,1
803,dem,2,4.401333333,4,3.5,2
1337,dem,3,2.288888889,1.222222222,2,2
1264,dem,2,1.361111111,1.074,6,2
590,dem,3,1.511111111,1.370444444,4,2
732,ind,5,1.327777778,1.259111111,7.5,3
655,dem,1,1.544444444,1.592666667,8.5,1
596,ind,3,1.822222222,1.407333333,6,3
165,dem,5,3.233333333,3.666666667,4,2
1268,dem,2,3.077777778,2.703777778,10,2
540,rep,4,2.011111111,1.592666667,2.5,4
363,dem,4,1.877777778,1.407333333,8.5,2
884,ind,3,3.422222222,3.481555556,5,3
479,rep,5,1.7,3.666666667,8.5,4
1229,rep,2,4.138888889,4.148222222,10,4
825,dem,2,3.027777778,2.888888889,8,1
1000,dem,3,1.944444444,2.333333333,8.5,1
902,dem,2,1.772222222,2.259333333,10,2
350,dem,2,1.961111111,1.814888889,10,2
745,ind,3,1.45,1.592666667,1.5,3
872,dem,2,1.461111111,2.703777778,8,2
545,rep,4,1.816666667,1.740888889,9.5,4
240,ind,2,1.027777778,1.111111111,10,3
81,ind,2,3.816666667,3.333333333,2.5,3
1284,dem,2,1.544444444,1.259333333,8.5,2
622,rep,4,1.722222222,2.111111111,9,4
135,rep,5,1.75,1.074,7.5,5
680,ind,3,2.361111111,1.444444444,0.5,3
900,dem,1,3.177777778,3.111111111,2,1
548,ind,4,1.966666667,1.333333333,1,3
1297,dem,2,1.611111111,1.407555556,7.5,1
970,dem,1,2.177777778,1.555555556,9.5,1
712,ind,2,1.872222222,2.296222222,9,3
532,rep,4,2.533333333,1.666666667,10,4
423,rep,2,2.883333333,2.592666667,1,4
746,rep,4,1.577777778,2.296222222,6,4
728,dem,2,1.883333333,1.629555556,10,2
733,dem,3,3.883333333,2.518444444,9,2
1227,ind,2,2.892,3.333333333,5,3
1135,dem,2,2.088888889,1.963111111,10,1
1102,rep,5,2.577777778,2.185333333,6.5,4
853,rep,3,2.488888889,2.777777778,2.5,4
1054,ind,3,3.922222222,3.748222222,5,3
347,dem,2,2.483333333,2.740666667,1.5,2
273,rep,5,1.111111111,2.081555556,4.5,4
203,dem,2,2.622222222,1.333333333,5.5,2
885,ind,4,1.538888889,1.407333333,6,3
560,rep,4,1.505555556,1.185111111,1.5,4
45,rep,2,1.766666667,2,0.5,4
1219,dem,2,1.055555556,1.814888889,1,2
210,ind,3,1.527777778,1.888888889,0,3
307,dem,1,1.727777778,1.333333333,7.5,1
581,ind,2,1.838888889,1.592444444,9,3
268,ind,4,1.411111111,1.296444444,9.5,3
850,rep,4,2.688888889,2.629555556,9.5,4
143,ind,3,2.683333333,3.370444444,1,3
976,rep,5,2.716666667,2.777777778,5.5,5
1137,rep,5,1.661111111,1.592444444,8,5
1326,dem,2,2.657111111,1.696222222,8.5,2
332,rep,4,1.666666667,1.074,9.5,5
616,dem,2,1.872222222,2.111111111,8,2
346,rep,2,2.722222222,3.185111111,2.5,4
23,dem,2,2.25,3.259333333,8,2
163,rep,4,1.588888889,1.222222222,10,4
1291,rep,4,1.638888889,1.037111111,10,5
706,ind,2,1.988888889,1.666666667,5,3
1235,rep,4,3.088888889,4.036888889,8,4
802,dem,2,1.972222222,2.259333333,4.5,2
330,dem,3,2.15,1,9,2
311,rep,3,1.477777778,1.037111111,0.5,4
1258,dem,3,3.385777778,1,0,2
495,dem,3,2.011111111,2.074,7,2
271,dem,2,1.738888889,1.259333333,10,2
236,dem,2,1.172222222,1.222222222,4,2
415,ind,2,2.127777778,2.259111111,0,3
1218,ind,4,2.777777778,2.111111111,1,3
599,ind,2,2.45,1.926,6,3
1133,dem,1,3.227777778,2.222222222,10,1
928,rep,4,2.416666667,1.481555556,5.5,4
224,dem,5,1.5,2.888888889,10,1
124,ind,4,1.622222222,1.333333333,2.5,3
1012,dem,1,2.2,2.296222222,5,2
1254,ind,2,2.994444444,3.222222222,0,3
703,rep,4,3.677777778,2.296222222,2.5,4
1280,dem,4,1.644444444,1.296444444,0.5,2
936,rep,3,2.922222222,2.666666667,3.5,4
873,ind,3,3.405555556,3.555555556,6.5,3
1211,dem,3,4.450666667,3.629555556,4,2
1123,rep,4,1.972222222,2.777777778,10,4
411,ind,3,1.65,1.148222222,2.5,3
1073,dem,1,2.194444444,2.740666667,8.5,2
1175,dem,2,1.983333333,3.407555556,0.5,2
1018,rep,4,4.066666667,3.666666667,9,4
764,ind,2,2.354666667,2.155555556,0.5,3
399,rep,4,2.072222222,2,4.5,4
1171,ind,4,1.833333333,1.592666667,0,3
1169,dem,2,2.816666667,1.740666667,9.5,2
183,dem,2,1.254,1.296222222,5,2
848,rep,4,1.194444444,2.629777778,2,4
342,ind,3,2.311111111,2.111111111,4.5,3
1009,dem,1,1.977777778,2.740666667,8.5,1
1305,rep,4,2.85,1,8,4
987,rep,3,4.083333333,3.518666667,3,5
698,dem,1,3.288888889,1.185111111,10,1
33,dem,2,2.261111111,2.666666667,8,2
552,ind,4,1.9,1.333333333,4,3
1079,dem,1,2.95,2.592666667,10,1
927,dem,1,2.383333333,2.037111111,5.5,1
388,dem,3,2.083333333,1.444444444,10,1
1080,ind,3,2.327777778,1.852,2.5,3
1267,ind,2,1.888888889,1.703777778,7,3
341,dem,3,1.7,1.481555556,5.5,2
799,rep,4,1.983333333,1.666666667,6.5,4
677,dem,2,1.361111111,1.488888889,8.5,2
104,ind,3,1.711111111,1.333333333,3,3
1115,dem,4,2.716666667,3.555555556,4,2
505,dem,2,1.883333333,1.370444444,6,1
400,rep,2,2.705555556,3.037111111,4.5,4
1101,rep,4,1.35,2.148222222,1.5,4
465,rep,4,1.738888889,1.333333333,2,4
1325,ind,5,1.722222222,3.333333333,7,3
1075,rep,3,3.472222222,3.666666667,0.5,4
983,rep,4,3.694444444,2.185111111,0,4
871,ind,3,2.388888889,2.333333333,1.5,3
148,dem,2,1.727777778,1.185111111,8,2
654,dem,2,2.366666667,2.037111111,5.5,2
1071,dem,2,3.511111111,3.370222222,1,2
663,ind,3,1.594444444,1.518444444,0,3
491,rep,4,2.155555556,1.296222222,10,4
841,rep,5,1.533333333,3.148222222,10,4
952,dem,3,2.077777778,2.333333333,8,1
295,dem,3,2.033333333,1.259333333,6.5,2
172,dem,2,1.854888889,1.370444444,10,1
244,dem,2,1.544444444,1.074,7.5,2
112,ind,3,2.377777778,1.259333333,0,3
18,dem,2,2.505555556,1,1,2
1145,ind,1,2.479333333,2.185333333,2.5,3
657,ind,4,1.472222222,1.444444444,3.5,3
1084,ind,2,1.211111111,1.518444444,3,3
729,dem,4,1.746888889,1,1,2
1194,ind,3,3.05,3.111111111,5,3
923,ind,2,2.405555556,1.962888889,4,3
1072,dem,1,2.455555556,1.926,8,2
1270,rep,3,1.666666667,2.074,0.5,4
889,rep,4,1.788888889,1.740666667,7,4
1336,rep,4,1.611111111,1.740666667,4,4
1200,rep,4,2.255555556,2.333333333,2.5,4
1096,dem,2,1.716666667,1.703777778,9,2
573,dem,2,1.583333333,1.296222222,0.5,2
225,ind,4,1.6,2.888888889,4,3
482,dem,2,2.016666667,1.629555556,9,1
335,dem,2,3.333333333,1.777777778,2.5,2
1173,dem,3,3.288888889,2.666666667,8,2
356,rep,4,2.683333333,2.259111111,0.5,4
237,rep,4,1.333333333,1,8.5,4
617,ind,2,1.638888889,1.370444444,10,3
995,dem,4,2.027777778,2.926,9.5,2
264,ind,3,2.672222222,1.148222222,0,3
815,rep,5,1.25,3.592666667,10,5
765,dem,1,1.561111111,1.740888889,7.5,2
1126,rep,5,1.994444444,2.555555556,9.5,5
1107,ind,2,2.055555556,1.666666667,7.5,3
789,rep,2,2.922222222,3,3,4
717,dem,2,1.977777778,3,6,2